0	7.4	74.63
3	11.1	74.10
3.9	8.4	88.84
0.2	4.3	81.45
0	4.4	69.80
0.7	3.4	87.94
1.3	5	66.93
0.1	8.5	81.15
0.1	8.5	79.91
8.8	5.4	73.06
2	2.9	83.26
0	4.3	77.10
5.2	7	51.49
3.6	9.5	75.90
1.3	3	79.34
0	5.2	67.27
4.3	6.3	80.50
4	6.3	69.69
2.6	6.6	82.67
1.9	4.9	79.71
2.3	9.6	73.66
2.1	9.1	93.65
0	9.8	92.43
0.1	9.5	80.97
0	7.6	78.05
0	8.2	85.47
1	9.7	86.49
0.1	9.1	86.40
0	6.2	95.53
0	7.9	74.56
0	6.3	64.66
0.2	10.8	54.02
0	10.7	68.58
2.3	8.9	86.17
0	5.4	78.26
0	8.4	69.53
0.2	13	72.64
0	12.2	82.02
0	10.9	84.77
1.5	8.8	83.82
6	4.4	77.19
0.4	4.2	69.23
0	5.6	72.59
0	5.4	66.02
0	3.7	63.78
0	3.8	65.60
0	4.4	74.46
0	6.2	75.04
0	4.5	74.80
0	2.8	80.48
0	3.7	72.27
0	2.5	72.80
0	1.1	83.81
2.9	0.9	94.20
1.3	2.5	77.48
0.4	1.6	90.23
0.6	2.5	83.74
0	5.2	74.12
2.6	6	81.37
1.2	9.3	76.25
4.1	8.5	84.34
3.3	4.2	93.96
0.3	4.6	74.27
0	4.9	79.16
5	11.8	69.33
2	13.3	83.30
1	13.4	84.59
1.3	11.5	93.45
27.1	14	85.53
9.6	13.6	86.34
5.9	13.6	74.22
11.8	11.2	76.89
4.2	6.7	95.58
6.9	8.4	75.28
0	7.1	71.11
0.3	5.5	72.57
1.2	9.9	66.14
0	10.2	77.11
0	13.5	69.19
0	12.5	81.10
0.7	8.9	76.95
6.5	13.3	66.30
2	13	78.40
3.4	14.7	81.60
0.8	13	73.28
0.6	14.5	65.06
0	18.1	62.07
0	12.5	76.05
6.6	7.7	93.06
0.2	9.8	77.26
4.1	9	85.35
0.3	12.9	68.89
0	7.5	85.90
0.1	6.9	86.72
0.4	8.4	78.84
0	10.8	67.40
0	11.8	66.77
0	16.2	60.58
0	18.5	64.64
0	19.1	58.91
2.8	18.3	69.98
6	15	77.46
0	11.7	70.72
0	12.2	65.57
0	14.1	60.26
0	11.6	67.54
0	10.4	63.02
0	11.8	57.15
0	9.9	67.86
0.1	10.1	66.96
0	7.8	75.49
0.1	5.2	78.64
2.6	7.2	63.54
0.1	5.9	72.81
9.4	6.7	78.56
21.2	6.8	85.00
22	9	71.20
0	10	70.07
2.5	13.6	77.31
0	13.2	82.76
2.3	8.9	72.68
0	9.5	60.42
0	8.4	70.77
5.3	10.1	70.93
0.5	13.2	52.62
3.4	17.3	67.07
0	18.2	66.85
5.3	17.3	75.04
4.2	14.9	78.06
10.1	19.5	69.75
0.1	19.7	63.46
0.6	17	69.69
0	18	66.98
0	16.3	71.20
0	18.1	63.91
2.7	14.8	73.48
0	14	72.28
1.6	15	74.38
3.8	16.5	78.94
0.4	22.7	59.28
0.8	16.2	77.00
8.8	15.6	75.10
1.6	15.1	79.90
1.2	15.6	66.71
4.3	12.5	76.42
3.3	14.6	72.75
0.9	16.1	67.47
10.9	14.6	76.56
